x,y,d
-1.16,-1.16,-0.74
-1.15,-1.15,-0.725
-1.14,-1.14,-0.71
-1.13,-1.13,-0.695
-1.12,-1.12,-0.68
-1.11,-1.11,-0.665
-1.1,-1.1,-0.65
-1.09,-1.09,-0.635
-1.08,-1.08,-0.62
-1.07,-1.07,-0.605
-1.06,-1.06,-0.59
-1.05,-1.05,-0.575
-1.04,-1.04,-0.56
-1.03,-1.03,-0.545
-1.02,-1.02,-0.53
-1.01,-1.01,-0.515
-1,-1,-0.5
-0.99,-0.99,-0.485
-0.98,-0.98,-0.47
-0.97,-0.97,-0.455
-0.96,-0.96,-0.44
-0.95,-0.95,-0.425
-0.94,-0.94,-0.41
-0.93,-0.93,-0.395
-0.92,-0.92,-0.38
-0.91,-0.91,-0.365
-0.9,-0.9,-0.35
-0.89,-0.89,-0.335
-0.88,-0.88,-0.32
-0.87,-0.87,-0.305
-0.86,-0.86,-0.29
-0.85,-0.85,-0.275
-0.84,-0.84,-0.26
-0.83,-0.83,-0.245
-0.82,-0.82,-0.23
-0.81,-0.81,-0.215
-0.8,-0.8,-0.2
-0.79,-0.79,-0.185
-0.78,-0.78,-0.17
-0.77,-0.77,-0.155
-0.76,-0.76,-0.14
-0.75,-0.75,-0.125
-0.74,-0.74,-0.11
-0.73,-0.73,-0.095
-0.72,-0.72,-0.0800000000000001
-0.71,-0.71,-0.0650000000000002
-0.7,-0.7,-0.05
-0.69,-0.69,-0.0350000000000001
-0.68,-0.68,-0.02
-0.67,-0.67,-0.00500000000000012
-0.66,-0.66,0.00999999999999979
-0.65,-0.65,0.0249999999999999
-0.64,-0.64,0.04
-0.63,-0.63,0.0549999999999997
-0.62,-0.62,0.0699999999999998
-0.61,-0.61,0.085
-0.6,-0.6,0.1
-0.59,-0.59,0.115
-0.58,-0.58,0.13
-0.57,-0.57,0.145
-0.56,-0.56,0.16
-0.55,-0.55,0.175
-0.54,-0.54,0.19
-0.53,-0.53,0.205
-0.52,-0.52,0.22
-0.51,-0.51,0.235
-0.5,-0.5,0.25
-0.49,-0.49,0.265
-0.48,-0.48,0.28
-0.47,-0.47,0.295
-0.46,-0.46,0.31
-0.45,-0.45,0.325
-0.44,-0.44,0.34
-0.43,-0.43,0.355
-0.42,-0.42,0.37
-0.41,-0.41,0.385
-0.4,-0.4,0.4
-0.39,-0.39,0.415
-0.38,-0.38,0.43
-0.37,-0.37,0.445
-0.36,-0.36,0.46
-0.35,-0.35,0.475
-0.34,-0.34,0.49
-0.33,-0.33,0.505
-0.32,-0.32,0.52
-0.31,-0.31,0.535
-0.3,-0.3,0.55
-0.29,-0.29,0.565
-0.28,-0.28,0.58
-0.27,-0.27,0.595
-0.26,-0.26,0.61
-0.25,-0.25,0.625
-0.24,-0.24,0.64
-0.23,-0.23,0.655
-0.22,-0.22,0.67
-0.21,-0.21,0.685
-0.2,-0.2,0.7
-0.19,-0.19,0.715
-0.18,-0.18,0.73
-0.17,-0.17,0.745
-0.16,-0.16,0.76
-0.15,-0.15,0.775
-0.14,-0.14,0.79
-0.13,-0.13,0.805
-0.12,-0.12,0.82
-0.11,-0.11,0.835
-0.0999999999999999,-0.0999999999999999,0.85
-0.0899999999999999,-0.0899999999999999,0.865
-0.0800000000000001,-0.0800000000000001,0.88
-0.0700000000000001,-0.0700000000000001,0.895
-0.0600000000000001,-0.0600000000000001,0.91
-0.05,-0.05,0.925
-0.04,-0.04,0.94
-0.03,-0.03,0.955
-0.02,-0.02,0.97
-0.01,-0.01,0.985
0,0,1
0.01,0.01,1.015
0.02,0.02,1.03
0.03,0.03,1.045
0.04,0.04,1.06
0.05,0.05,1.075
0.0600000000000001,0.0600000000000001,1.09
0.0700000000000001,0.0700000000000001,1.105
0.0800000000000001,0.0800000000000001,1.12
0.0899999999999999,0.0899999999999999,1.135
0.0999999999999999,0.0999999999999999,1.15
0.11,0.11,1.165
0.12,0.12,1.18
0.13,0.13,1.195
0.14,0.14,1.21
0.15,0.15,1.225
0.16,0.16,1.24
0.17,0.17,1.255
0.18,0.18,1.27
0.19,0.19,1.285
0.2,0.2,1.3
0.21,0.21,1.315
0.22,0.22,1.33
0.23,0.23,1.345
0.24,0.24,1.36
0.25,0.25,1.375
0.26,0.26,1.39
0.27,0.27,1.405
0.28,0.28,1.42
0.29,0.29,1.435
0.3,0.3,1.45
0.31,0.31,1.465
0.32,0.32,1.48
0.33,0.33,1.495
0.34,0.34,1.51
0.35,0.35,1.525
0.36,0.36,1.54
0.37,0.37,1.555
0.38,0.38,1.57
0.39,0.39,1.585
0.4,0.4,1.6
0.41,0.41,1.615
0.42,0.42,1.63
0.43,0.43,1.645
0.44,0.44,1.66
0.45,0.45,1.675
0.46,0.46,1.69
0.47,0.47,1.705
0.48,0.48,1.72
0.49,0.49,1.735
0.5,0.5,1.75
0.51,0.51,1.765
0.52,0.52,1.78
0.53,0.53,1.795
0.54,0.54,1.81
0.55,0.55,1.825
0.56,0.56,1.84
0.57,0.57,1.855
0.58,0.58,1.87
0.59,0.59,1.885
0.6,0.6,1.9
0.61,0.61,1.915
0.62,0.62,1.93
0.63,0.63,1.945
0.64,0.64,1.96
0.65,0.65,1.975
0.66,0.66,1.99
0.67,0.67,2.005
0.68,0.68,2.02
0.69,0.69,2.035
0.7,0.7,2.05
0.71,0.71,2.065
0.72,0.72,2.08
0.73,0.73,2.095
0.74,0.74,2.11
0.75,0.75,2.125
0.76,0.76,2.14
0.77,0.77,2.155
0.78,0.78,2.17
0.79,0.79,2.185
0.8,0.8,2.2
0.81,0.81,2.215
0.82,0.82,2.23
0.83,0.83,2.245
0.84,0.84,2.26
0.85,0.85,2.275
0.86,0.86,2.29
0.87,0.87,2.305
0.88,0.88,2.32
0.89,0.89,2.335
0.9,0.9,2.35
0.91,0.91,2.365
0.92,0.92,2.38
0.93,0.93,2.395
0.94,0.94,2.41
0.95,0.95,2.425
0.96,0.96,2.44
0.97,0.97,2.455
0.98,0.98,2.47
0.99,0.99,2.485
1,1,2.5
1.01,1.01,2.515
1.02,1.02,2.53
1.03,1.03,2.545
1.04,1.04,2.56
1.05,1.05,2.575
1.06,1.06,2.59
1.07,1.07,2.605
1.08,1.08,2.62
1.09,1.09,2.635
1.1,1.1,2.65
1.11,1.11,2.665
1.12,1.12,2.68
1.13,1.13,2.695
1.14,1.14,2.71
1.15,1.15,2.725
1.16,1.16,2.74
1.17,1.17,2.755
1.18,1.18,2.77
1.19,1.19,2.785
1.2,1.2,2.8
1.21,1.21,2.815
1.22,1.22,2.83
1.23,1.23,2.845
1.24,1.24,2.86
1.25,1.25,2.875
1.26,1.26,2.89
1.27,1.27,2.905
1.28,1.28,2.92
1.29,1.29,2.935
1.3,1.3,2.95
1.31,1.31,2.965
1.32,1.32,2.98
1.33,1.33,2.995
1.34,1.34,3.01
1.35,1.35,3.025
1.36,1.36,3.04
1.37,1.37,3.055
1.38,1.38,3.07
1.39,1.39,3.085
1.4,1.4,3.1
1.41,1.41,3.115
1.42,1.42,3.13
1.43,1.43,3.145
1.44,1.44,3.16
1.45,1.45,3.175
1.46,1.46,3.19
1.47,1.47,3.205
1.48,1.48,3.22
1.49,1.49,3.235
1.5,1.5,3.25
1.51,1.51,3.265
1.52,1.52,3.28
1.53,1.53,3.295
1.54,1.54,3.31
1.55,1.55,3.325
1.56,1.56,3.34
1.57,1.57,3.355
1.58,1.58,3.37
1.59,1.59,3.385
1.6,1.6,3.4
1.61,1.61,3.415
1.62,1.62,3.43
1.63,1.63,3.445
1.64,1.64,3.46
1.65,1.65,3.475
1.66,1.66,3.49
1.67,1.67,3.505
1.68,1.68,3.52
1.69,1.69,3.535
1.7,1.7,3.55
1.71,1.71,3.565
1.72,1.72,3.58
1.73,1.73,3.595
1.74,1.74,3.61
1.75,1.75,3.625
1.76,1.76,3.64
1.77,1.77,3.655
1.78,1.78,3.67
1.79,1.79,3.685
1.8,1.8,3.7
1.81,1.81,3.715
1.82,1.82,3.73
1.83,1.83,3.745
1.84,1.84,3.76
1.85,1.85,3.775
1.86,1.86,3.79
1.87,1.87,3.805
1.88,1.88,3.82
1.89,1.89,3.835
1.9,1.9,3.85
1.91,1.91,3.865
1.92,1.92,3.88
1.93,1.93,3.895
1.94,1.94,3.91
1.95,1.95,3.925
1.96,1.96,3.94
1.97,1.97,3.955
1.98,1.98,3.97
1.99,1.99,3.985
2,2,4
